,Characters,Quotes
1604,Elizabeth,He was a good man.
1605,Will,"If there was anything to be done to bring him back, Elizabeth…"
1611,Elizabeth,Yes.
1612,Will,Aye.
1623,Elizabeth,"...the bell has been raised from its watery grave; hear its sepulchral tone? A call to all, pay heed the squall, and turn your sails toward home!... yo ho, all together, hoist the colors high. Yo ho, thieves..."
1627,Elizabeth,And what makes you think I need protecting?
1631,Elizabeth,Have you heard anything from Will?
1633,Elizabeth,Is he that terrifying?
1646,Elizabeth,Because you happen to have a ship a and crew you don’t need?
1662,Elizabeth,"You can fight!  Get off me! You are Sao Feng, the pirate lord of Singapore!"
1663,Elizabeth,"...would you have that era come to an end on your watch? The most notorious pirates from around the world are uniting against our enemy, and yet you sit here, cowering in your bath water!"
1665,Will,Jack Sparrow.  He’s one of the pirate lords.
1673,Will,"If he’s not with you, and he’s not with us...who’s he with?"
1674,Elizabeth,Will!
1677,Will,It is coincidence only.  If you want to make a deal with Beckett you need what I offer.
1679,Will,I need the Black Pearl to free my father.  You’re helping me to get it.
1685,Will,"And better yet, a ship and a crew."
1686,Elizabeth,Where’s Sao Feng?
1687,Will,He’ll cover our escape and meet us at Shipwreck Cove.
1689,Elizabeth,There’s no place left for Sao Feng to cower. Do you think he will honor the call?
1711,Will,Nothing here is set. These can’t be as accurate as modern charts. Tai Huang
1712,Will,"Over the edge and over again. Sunrise sets flash of green... Do you care to interpret, Captain Barbossa?"
1731,Will,How long do we continue not talking?
1732,Elizabeth,Once we rescue Jack everything will be fine.
1733,Will,When we rescue Jack?
1735,Will,Barbossa! Ahead!
1737,Elizabeth,Lost?
1741,Will,"To stations! All hands, to stations! Hard to port, gather way!"
1744,Elizabeth,You’ve doomed us all!
1746,Will,Tie her off!
1748,Elizabeth,Hard to port!
1749,Will,Hold on!
1753,Jack,My peanut. All hands slackened braces!
1761,Jack,Mr. Sparrow.
1763,Jack,What say you about the condition of this tack line?
1765,Jack,"Proper? It is neither proper nor suitable, sir, it is neither acceptable nor adequate. It is in obvious fact an abomination."
1767,Jack,"Shall I?  That sort of thinking got us into this mess. Gentlemen, we have lost speed and therefore time, precious time, which cannot be regained once lost. Do you understand?"
1769,Jack,"It will all have to be redone, all of it! And let that serve as a lesson to the lot of you!"
1771,Elizabeth,"I don’t see Jack, I don’t see anyone."
1773,Will,"It doesn’t matter, we’re trapped here by your doing, no different than Jack."
1780,Jack,Mr Gibbs!
1782,Jack,"I thought so. I expect you can account for your actions, then?"
1784,Jack,"There has been a perpetual and virulent lack of discipline aboard my vessel! Why is that, sir?"
1786,Jack,"I know that. I know where I am, and don’t think I don’t."
1788,Jack,"Ah, Hector. It’s been too long, hasn’t it?"
1790,Jack,"No I didn’t. Ah, Tia Dalma, out and about, eh? You lend an agreeable sense of the macabre to any delirium."
1791,Will,He thinks we’re a hallucination.
1792,Jack,"William, tell me something. Have you come because you need my help to rescue a certain distressing damsel? Or rather a damsel in distress? Either one."
1793,Jack,Then you wouldn’t be here. So you can’t be here. Q.E.D. you’re not really here.
1794,Elizabeth,"Jack, this is real, we’re here."
1795,Jack,"The locker, you say?"
1797,Elizabeth,We’ve come to rescue you.
1798,Jack,"Have you, now? That’s very kind of you. But seeing as I possess a ship and you don’t, it seems as though you’re the ones in need of rescuing and I’m not sure as I’m in the mood."
1800,Jack,"Can’t spot it, must be a tiny little thing hiding somewhere behind the Pearl."
1801,Will,Jack. Cutler Beckett has the heart of Davy Jones. He controls the Flying Dutchman.
1802,Elizabeth,He’s taking over the seas.
1804,Jack,"Leave you people alone for a minute and look what’s happened, everything’s gone to pot."
1806,Will,And you need a crew.
1807,Jack,"Why should I sail with any of you? Four of you have tried to kill me in the past, one of you succeeded."
1808,Jack,"Oh, she’s not told you? You’ll have loads to talk about while you’re here.  As for you..."
1810,Jack,"All right, fair enough, you’re in.  Who are you?"
1812,Jack,Where do your allegiances lie?
1814,Jack,I have a ship.
1816,Jack,"Good man. Weigh anchor, all hands, prepare to make sail."
1820,Jack,Trim that sail!
1822,Jack,Slack windward brace and sheets!
1824,Jack,Haul that pallet line!
1826,Jack,What are YOU doing?
1828,Jack,What are YOU doing?
1830,Jack,What are YOU doing? Captain gives orders on the ship!
1832,Jack,"My ship, makes me captain."
1834,Jack,That makes you...chart man!
1838,Will,You left Jack to the Kraken?
1839,Elizabeth,"He’s rescued now, it’s done with. Will, I had no choice."
1840,Will,You chose not to tell me.
1841,Elizabeth,I couldn’t. It wasn’t your burden to bear.
1842,Will,"But I did bear it, didn’t I? I just didn’t know what it was. I thought..."
1843,Elizabeth,You thought I loved him.
1844,Will,"If you make your choices alone, how can I trust you?"
1845,Elizabeth,You can’t.
1853,Will,"They’re not a threat to us, am I right?"
1856,Elizabeth,"It’s my father, we’ve made it back. Father here, look here!"
1857,Jack,"Elizabeth, we’re not back."
1858,Elizabeth,Father!
1860,Elizabeth,"No, no."
1862,Elizabeth,"No, you can’t be!"
1864,Elizabeth,Come aboard!
1866,Elizabeth,Someone cast a line!
1868,Elizabeth,Take the line!
1870,Elizabeth,"Father, the line, take the line!"
1872,Elizabeth,"Father, come back with us! I won’t leave you!"
1873,Will,Elizabeth.
1875,Will,Is there a way?
1881,Will,Why doesn’t he do something?
1884,Will,"And the green flash happens at sunset, not sunrise."
1886,Jack,UP IS DOWN. Well that’s just maddeningly unhelpful. Why are these things never clear?
1889,Jack,Come again?
1891,Jack,Well that’s more than less than unhelpful.
1893,Jack,I love the sea.
1895,Jack,I prefer rum. Rum’s good.
1899,Jack,Once every ten years.
1902,Jack,Even longer given the deficit of rum.
1905,Jack,"Oh, I like that."
1907,Jack,"Not sunset, sundown... and rise.  What’s that? I don’t know, what IS that? What do you think?"
1908,Elizabeth,Where?
1909,Jack,There!
1910,Elizabeth,What is it?
1915,Jack,Now up is down.
1918,Elizabeth,It’s the sunrise.
1922,Jack,"I is arguin’ the point. If there’s pirates a-gatherin’, I’m pointing my ship the other way."
1923,Elizabeth,"The pirates are gathering to fight Beckett, and you’re a pirate."
1924,Will,"Fight or not, you’re not running, Jack."
1926,Jack,"I quite like the sound of that. Captain Jack Sparrow, the last pirate."
1928,Jack,"I’m still working on that. But I’ll not be going back to the locker, mate, count on that."
1932,Will,"There’s a freshwater spring on this island. We can resupply there, and get back to shooting each other later."
1933,Jack,"You can lead the shore party, and I’ll stay with my ship."
1935,Will,Why don’t you both go ashore and leave the ship in my command... temporarily.
1943,Jack,"Sometimes, things come back, mate. We’re living proof, you and me."
1945,Jack,"Summoning the Brethren Court, then, is it?"
1947,Jack,That’s a sad commentary in and of itself.
1949,Jack,The world’s still the same. There’s just less in it.
1955,Jack,He’s the captain.
1958,Jack,"That doesn’t sound like me.  Shall we just call it square, then?"
1959,Will,Release her. She’s not part of the bargain.
1962,Jack,Captain Turner?
1964,Will,I need the Pearl to free my father. That’s the only reason I came on this voyage.
1965,Elizabeth,Why didn’t you tell me you were planning this?
1966,Will,It was my burden to bear.
1967,Jack,He needs the Pearl! Captain Turner needs the Pearl! And you felt guilty. And you and your Brethren Court! Did no one come to save me just because they missed me?  I’m standing over there with them.
1969,Jack,I’m not certain I can survive any more visits from old friends.
1972,Jack,What? What isn’t?
1974,Jack,"By my reckoning, that account has been settled."
1976,Jack,Close your eyes and pretend it’s all a bad dream. That’s how I get by.
1980,Will,"You agreed, the Black Pearl was to be mine."
1983,Jack,"Regarding the Brethren Court, no doubt? In exchange for fair compensation, square my debt with Jones, guarantee my freedom?"
1985,Jack,"Were I in a divulgatory mood, what then might I divulge?"
1996,Jack,"You can keep Barbossa, the belligerent homunculus and his friend with the wooden eye both, and Turner... especially Turner. The rest go with me aboard the Pearl, and I will lead you to Shipwreck Cove, where I will hand you the pirates and you will NOT hand me to Jones. Bloody fair deal, don’t you think?"
1998,Jack,What interest is she to you?
2002,Elizabeth,What?
2004,Will,Elizabeth is not part of any bargain!
2007,Jack,"It points to what you want most, and that’s not the Brethren Court, is it?"
2009,Jack,Me. Dead.
2010,Elizabeth,Done.
2011,Will,What? Not done!
2012,Elizabeth,"You got us into this mess! If this is what frees us, then done!"
2014,Will,Elizabeth! They’re pirates!
2015,Elizabeth,I’ve had more than enough experience dealing with pirates!
2017,Jack,"With me killed, you’d arrive at Shipwreck Cove, find its stronghold nigh impregnable, able to withstand blockade for years, and then you’d wish, “Oh, if only there were someone I had not killed inside to assure that the pirates then come outside...”"
2019,Jack,"You may kill me, but you may never insult me. Who am I?  Done!"
2021,Jack,"Thank goodness for that, because if I wasn’t, this would probably never work."
2022,Jack,And that was without a single drop of rum.  Send this pestilent traitorous cowhearted yeasty codpiece to the brig.
2029,Elizabeth,Excuse me?
2031,Elizabeth,We being who?
2033,Elizabeth,Confirm what? You’ve told me nothing.
2035,Elizabeth,...me.
2037,Elizabeth,Pretty speech from a captor. But words whispered through prison bars lose their charm.
2039,Elizabeth,And some men offer desire as justification for their crimes.
2041,Elizabeth,And in return?
2043,Elizabeth,And if I should choose not?
2045,Elizabeth,Sao Feng!
2047,Elizabeth,Me?
2051,Elizabeth,He made me captain.
2054,Elizabeth,James!
2056,Elizabeth,My father’s dead.
2058,Elizabeth,Did Lord Beckett tell you that?
2063,Elizabeth,"Thank you, but I prefer to remain with my crew."
2065,Elizabeth,Know what? Which side you chose?  Well now you do.
2066,Elizabeth,Bootstrap?
2067,Elizabeth,Bootstrap? Bill Turner?
2069,Elizabeth,"Yes, I know your son. Will Turner."
2071,Elizabeth,"Yes, Will is alive. And he wants to help you."
2073,Elizabeth,But you’re his father.
2075,Elizabeth,Me?
2077,Elizabeth,"Yes, I’m Elizabeth."
2079,Elizabeth,I see.
2081,Elizabeth,Bootstrap.
2083,Elizabeth,"Yes, I know your son."
2092,Jack,"Bravo, you escaped the brig even quicker than I expected. William, do you notice something? Or rather do you notice something that is not there to be noted?"
2093,Will,You haven’t raised an alarm.
2094,Jack,"Odd, isn’t it? But not as odd as this. Come up with this all by your lonesome, did you?"
2095,Will,"I said to myself, think like Jack."
2096,Jack,"And this is what you’ve arrived at? Lead Beckett to Shipwreck Cove so as to gain his trust, accomplish your own ends? It’s like you don’t know me at all, mate. And how does your dearly beloved feel about this?  Ah, you’ve not seen fit to trust her with it."
2097,Will,I’m losing her Jack. Every step I take for my father is a step away from Elizabeth.
2098,Jack,"Mate, if you choose to lock your heart away, you’ll lose it for certain. If I may lend a machete to your intellectual thicket—avoid the choice altogether. Change the facts. Let someone else dispatch Jones."
2099,Will,Who?  You?
2100,Jack,"Death has a curious way or reshuffling one’s priorities. I’ll slip aboard the Dutchman, find the heart, stab the beating thing. Your father goes free, and you’re free to be with your charming murderess."
2101,Will,"And you’re willing to carve out your heart and bind yourself to the Dutchman, forever."
2102,Jack,"No mate, I’m free forever. Free to sail the seas beyond the edges of the map, free from death itself."
2103,Will,"You’ve got to do the job though, Jack. You have to ferry souls to the next world. Or end up just like Jones."
2104,Jack,"I don’t have the face for tentacles. But immortal has to count for something, eh? Oh!"
2105,Will,What’s this for?
2106,Jack,"Think like me, it’ll come to you.  My regards to Davy Jones!"
2107,Will,I hate him.
2109,Elizabeth,What are you doing?
2111,Elizabeth,It’s too late to earn my forgiveness.
2113,Elizabeth,"Come with us. James, come with me."
2116,Elizabeth,You’re lying.
2124,Elizabeth,James! James! No!
2134,Jack,"For all that pirates are clever cobs, we are an unimaginative lot when it comes to naming things."
2136,Jack,I once sailed with a geezer lost both of his arms and part of his eye.
2138,Jack,Larry.
2146,Will,"Not yours, his. Jack Sparrow sends his regards."
2148,Will,You’ve not told him? We rescued Jack from the locker along with the Black Pearl.
2152,Will,Not quite so well actually. The Brethren Court intends to release her.
2156,Will,"You loved her. She’s the one, and then you betrayed her."
2158,Will,"And after which betrayal did you cut out your heart, I wonder?"
2160,Will,"I hadn’t finished that. You will free my father.  And you will guarantee Elizabeth’s safety, along with my own."
2163,Will,Calypso is aboard the Black Pearl. Jack has sailed the Black Pearl to Shipwreck Cove.
2165,Will,What is it you want most?
2169,Jack,And I owe them all money.
2179,Jack,"Might I point out that we are still short one pirate lord, and I’m content as a cucumber to wait until Sao Feng joins us."
2180,Elizabeth,Sao Feng is dead. He fell to the Flying Dutchman.
2181,Jack,And made you captain? They’re just giving the bloody title away now.
2182,Elizabeth,"Listen. Our location has been betrayed. Jones is under the command of Lord Beckett, they’re on their way here."
2185,Elizabeth,Where’s Will?
2186,Jack,Not among us.
2188,Elizabeth,We fight!
2193,Jack,"Shoot him and cut out his tongue, then shoot his tongue. And trim that scraggly beard."
2200,Elizabeth,This is madness.
2201,Jack,This is politics.
2202,Elizabeth,Meanwhile our enemies are bearing down upon us.
2217,Jack,"Whose boons? Your boons? Utterly deceptive twaddlespeak, says I."
2219,Jack,"Cuttlefish. Let us not, dear friends, forget our dear friends the cuttlefish. Flippant glorious little sausages. Pen ‘em up together and they’ll devour each other without a second thought. Human nature, isn’t it?...or....or fish nature.  So yes, we could hole up here well provisioned and well armed and half of us would be dead within the month, which seems grim to me any way you slice it. Or, as my learned colleague so naively suggests, we could release Calypso, and we can pray that she will be merciful. I rather doubt it. Can we in fact pretend that she is anything other than a woman scorned, like which fury hell hath no? We cannot. Res ipso loquitur tabula in naufragio , we are left with but one option. I agree with, and I cannot believe the words are comin’ out of me mouth, Captain Swann. We must fight."
2221,Jack,I have not!
2223,Jack,Have not!
2225,Jack,Have not!
2227,Jack,"Have not, slander and calumny! I have only ever embraced that oldest and noblest of pirate traditions. I submit here and now, that is what we all must do, we must fight... to run away."
2230,Jack,You made that up.
2237,Jack,"Hang on a minute.  It shall be the duty of the king to declare war, parlay with said adversaries... fancy that."
2240,Elizabeth,Why not?
2243,Jack,I call for a vote.
2249,Elizabeth,Elizabeth Swann.
2252,Jack,Elizabeth Swann.
2253,Elizabeth,What?
2254,Jack,"I know, curious isn’t it?"
2256,Jack,"Am I to understand that you lot will not be keeping to the code, then?"
2258,Elizabeth,"Prepare every vessel that floats. At dawn, we’re at war. SeSumbhajee"
2259,Jack,"What? You’ve seen it all, done it all, you survived. That’s the trick, isn’t it? To survive."
2261,Jack,How’s mum?
2262,Jack,She looks great.
2266,Jack,Parlay?
2269,Jack,My hands are clean in this... figuratively.
2270,Will,My actions were my own and to my own purpose. Jack had nothing to do with it.
2271,Jack,"Well spoke, listen to the tool."
2272,Elizabeth,"Will, I’ve been aboard the Dutchman, I understand the burden you bear, but I fear that cause is lost."
2273,Will,No cause is lost if there is but one fool left to fight for it.
2276,Jack,"That debt was paid, mate, with  help."
2278,Jack,Technically...
2279,Elizabeth,"I propose an exchange. Will leaves with us, and you can take Jack."
2280,Will,Done.
2281,Jack,Undone.
2284,Elizabeth,King.
2285,Jack,As you command.
2287,Jack,"First to the finish, then?"
2289,Jack,You have no idea.
2291,Elizabeth,You murdered my father.
2293,Elizabeth,"And you have chosen yours. We will fight, and you will die."
2295,Will,King?
2296,Elizabeth,Of the Brethren Court. Courtesy of Jack.
2297,Will,Maybe he really does know what he’s doing.
2300,Jack,Go away!
2305,Elizabeth,We’ll use the Black Pearl as a flagship to lead the attack.
2308,Will,"Barbossa, you can’t release her."
2309,Elizabeth,We have to give Jack a chance.
2320,Will,"Tia Dalma. Calypso.  When the Brethren Court first imprisoned you, who was it that told them how? Who was it that betrayed you?"
2322,Will,Davy Jones.
2325,Will,Was that it?
2328,Elizabeth,It’s not over.
2329,Will,There’s still a fight to be had.
2331,Elizabeth,Only a fool’s chance.
2333,Elizabeth,"You’re right. Then what shall we die for?  You will listen to me. Listen! The brethren will still be looking here to us, to the Black Pearl to lead, and what will they see? Frightened bilge rats aboard a derelict ship? No! They will see free men, and freedom. And what the enemy will see is the flash of our cannons, they will hear the ring of our swords and they will know what we can do! By the sweat of our brows, and the strength of our backs, and the courage of our hearts... gentlemen, hoist the colors!"
2334,Will,Hoist the colors.
2338,Elizabeth,Hoist the colors!!!
2344,Elizabeth,"Captain Barbossa, we need you at the helm."
2350,Will,On our stern and gaining!
2353,Will,Take her out or she’ll overbear us!
2355,Elizabeth,Prepare to broadside!
2357,Will,At the ready!
2358,Jack,Think like the whelp... think like the whelp... think like the whelp... half barrel hinges... leverage!
2365,Elizabeth,Fire!
2366,Will,Fire!
2370,Jack,"Good one. I just came to get me effects. Admirable though it may be, why are you here when you could be elsewhere?"
2380,Jack,"To my great regret. But, never to late to learn, eh?"
2382,Jack,"I can set you free, mate."
2384,Will,Elizabeth! Elizabeth! Will you marry me?
2385,Elizabeth,I don’t think now is the best time!
2386,Will,Now may be the only time! I love you. I’ve made my choice. What’s yours?
2387,Elizabeth,Barbossa! Marry us!
2389,Will,Barbossa! Now!
2391,Will,"Elizabeth Swann, do you take me to be your husband?"
2392,Elizabeth,I do.
2393,Will,Great!
2394,Elizabeth,"Will Turner, do you take me...to be your wife, in sickness and in health, with health being the less likely?"
2395,Will,I do.
2399,Jack,I already have the key.
2401,Jack,"Oh, that key."
2404,Will,"Thank you, Jack."
2406,Elizabeth,That’s why I brought this!
2408,Jack,"Do you?  Heady tonic, holding life and death in the palm of one’s hand."
2410,Jack,Cruel is a matter of perspective.
2413,Elizabeth,Will! Will! Look at me! Look at me!
2415,Elizabeth,No! no! no! no!
2417,Elizabeth,Don’t leave me! I won’t leave you!
2420,Jack,Never actually been one for tradition... Close haul her. Luff the sails and lay on iron!
2422,Jack,Belay that ‘belay that.’
2424,Jack,Belay!
2426,Jack,Belay!
2428,Jack,Belay!
2430,Jack,Stow. Shut it!
2434,Will,Ready on the guns!
2435,Jack,Full canvas!
2439,Jack,Fire!
2441,Will,Fire!
2442,Elizabeth,Fire all!
2449,Jack,"Mr. Gibbs, you may throw my hat if you like."
2451,Jack,Now go and get it.
2453,Will,You’re no longer bound to the Dutchman. You’re free.
2455,Will,"On the wheel, then, Mr. Turner."
2457,Will,Depends on the one day.
2462,Elizabeth,Jack. It would never have worked out between us.
2463,Jack,"Keep telling yourself that, darlin’.  Once was quite enough."
2464,Elizabeth,Thank you.
2465,Will,I’m gonna need the other one.  It’s always belonged to you. Will you keep it safe?
2466,Elizabeth,"Yes, yes."
2467,Will,Keep a weather eye on the horizon.
2468,Jack,"Granted, it tends to list to port and has on occasion been known to frighten young women, but I guarantee you will not be disappointed."
2472,Jack,"That, love, is a dinghy. My vessel is magnificent, and fierce, and huge-ish, and... gone. Why is it gone?"
2474,Jack,"Yes, there it is. Why is it there? It’s much larger up close."
2478,Jack,"Mr. Gibbs, any particular reason why my ship is gone?"
2480,Jack,"Really?  And by the way, no, I’ve never actually met Pisaro, but I love his pies. And all of this pales into utter insignificance in light of the fact that my ship is once again, gone, savvy?"
2482,Jack,Give nothing back.
